id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6922,(You Drive Me) Crazy,Britney Spears,64,0.748,0.9390000000000001,0,-4.288,0,0.0341,0.0534,0.0,0.32,0.96,104.001
6923,Mambo No. 5 (A Little Bit Of...),Lou Bega,78,0.622,0.807,5,-6.752000000000001,0,0.408,0.10300000000000001,0.0,0.306,0.892,174.06
6924,Auld Lang Syne,Kenny G,53,0.484,0.0237,5,-20.344,1,0.0494,0.993,0.946,0.0974,0.359,76.22800000000001
6925,There She Goes,Sixpence None The Richer,56,0.535,0.8420000000000001,7,-6.735,1,0.0279,0.0166,0.677,0.17800000000000002,0.895,122.684
6926,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne",74,0.903,0.621,2,-8.132,1,0.0578,0.00302,0.00018600000000000002,0.0504,0.5529999999999999,134.969
6927,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim,76,0.778,0.578,9,-7.22,0,0.27399999999999997,0.43200000000000005,0.0,0.138,0.758,84.48700000000001
6928,Larger Than Life,Backstreet Boys,60,0.6609999999999999,0.973,0,-2.9939999999999998,0,0.037000000000000005,0.11,1.74e-05,0.617,0.75,108.037
6929,The Rockafeller Skank,Fatboy Slim,50,0.665,0.991,7,-6.725,1,0.256,0.0117,0.00392,0.33899999999999997,0.0676,152.596
6930,We Can't Be Friends,Deborah Cox With R.L.,63,0.5760000000000001,0.28300000000000003,2,-13.004000000000001,1,0.039,0.897,0.892,0.0841,0.252,119.277
6931,Music Of My Heart,'N Sync & Gloria Estefan,66,0.43799999999999994,0.529,9,-9.224,1,0.0324,0.0113,0.0,0.109,0.395,136.14700000000002
6932,Will 2K,Will Smith Featuring K-Ci,48,0.8270000000000001,0.7829999999999999,9,-3.918,0,0.0869,0.0692,0.0,0.628,0.8320000000000001,117.934
6933,Get Gone,Ideal,64,0.71,0.578,0,-6.205,0,0.0297,0.371,0.669,0.41700000000000004,0.348,96.064
6934,Heartbreaker,Mariah Carey Featuring Jay-Z,61,0.667,0.7959999999999999,1,-4.6530000000000005,1,0.031,0.0173,0.000471,0.11599999999999999,0.6659999999999999,88.479
6935,15 Minutes,Marc Nelson,45,0.637,0.754,0,-4.0,1,0.0344,0.131,0.0,0.9059999999999999,0.698,132.02
6936,This Gift,98 Degrees,43,0.623,0.529,0,-8.649,1,0.0325,0.506,0.0,0.0824,0.423,86.984
6937,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones,29,0.669,0.5920000000000001,7,-4.628,1,0.0317,0.166,0.0,0.114,0.51,75.938
6938,Give You What You Want (Fa Sure),Chico DeBarge,19,0.8540000000000001,0.7140000000000001,10,-7.3420000000000005,0,0.0458,0.0118,0.0,0.0903,0.782,132.0
6939,The Greatest Romance Ever Sold,Prince,14,0.633,0.562,8,-6.297000000000001,1,0.0522,0.5379999999999999,0.016,0.188,0.606,179.755
6940,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,53,0.522,0.441,9,-9.436,0,0.0292,0.44,0.0,0.10300000000000001,0.172,103.23100000000001
6941,Deck The Halls,SHeDAISY,54,0.691,0.622,11,-6.862,0,0.0381,0.198,0.0,0.17600000000000002,0.955,121.97
6942,I Love You,Martina McBride,79,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.10099999999999999,0.39799999999999996,124.053
6943,All I Want For Christmas Is You,Mariah Carey,79,0.335,0.625,7,-7.462000000000001,1,0.0386,0.16399999999999998,0.0,0.0708,0.34600000000000003,150.27700000000002
